Year,GDP,Inflation_Rate,Unemployment_Rate,Population,GDP_per_capita
01/01/1960,543300000000.0,1.46,5.5,180671000.0,3007.1234453786165
01/01/1961,563300000000.0,1.07,6.7,183691000.0,3066.562869166154
01/01/1962,605100000000.0,1.2,5.5,186538000.0,3243.8430775498828
01/01/1963,638600000000.0,1.24,5.7,189242000.0,3374.515171050824
01/01/1964,685800000000.0,1.28,5.2,191889000.0,3573.941184747432
01/01/1965,743700000000.0,1.59,4.5,194303000.0,3827.5271097203854
01/01/1966,815000000000.0,3.02,3.8,196560000.0,4146.316646316646
01/01/1967,861700000000.0,2.77,3.8,198712000.0,4336.426587221707
01/01/1968,942500000000.0,4.27,3.6,200706000.0,4695.923390431776
01/01/1969,1019900000000.0,5.46,3.5,202677000.0,5032.144742620031
01/01/1970,1073303000000.0,5.84,4.9,205052000.0,5234.296666211498
01/01/1971,1164850000000.0,4.29,5.9,207661000.0,5609.382599525187
01/01/1972,1279110000000.0,3.27,5.6,209896000.0,6094.017989861646
01/01/1973,1425376000000.0,6.18,4.9,211909000.0,6726.358955966948
01/01/1974,1545243000000.0,11.05,5.6,213854000.0,7225.691359525657
01/01/1975,1684904000000.0,9.14,8.5,215973000.0,7801.456663564427
01/01/1976,1873412000000.0,5.74,7.7,218035000.0,8592.253537276125
01/01/1977,2081826000000.0,6.5,7.1,220239000.0,9452.57651914511
01/01/1978,2351599000000.0,7.63,6.1,222585000.0,10564.94822202754
01/01/1979,2627333000000.0,11.25,5.8,225055000.0,11674.181866654817
01/01/1980,2857307000000.0,13.55,7.1,227225000.0,12574.791506216305
01/01/1981,3207041000000.0,10.33,7.6,229466000.0,13976.105392520025
01/01/1982,3343789000000.0,6.13,9.7,231664000.0,14433.787727052973
01/01/1983,3634038000000.0,3.21,9.6,233792000.0,15543.893717492472
01/01/1984,4037613000000.0,4.3,7.5,235825000.0,17121.22548499947
01/01/1985,4338979000000.0,3.55,7.2,237924000.0,18236.8277265009
01/01/1986,4579631000000.0,1.9,7.0,240133000.0,19071.227194929477
01/01/1987,4855215000000.0,3.66,6.2,242289000.0,20038.941099265754
01/01/1988,5236438000000.0,4.08,5.5,244499000.0,21417.011930519144
01/01/1989,5641580000000.0,4.83,5.3,246819000.0,22857.154433005562
01/01/1990,5963144000000.0,5.4,5.6,249623000.0,23888.60000881329
01/01/1991,6158129000000.0,4.23,6.8,252981000.0,24342.25890481894
01/01/1992,6520327000000.0,3.03,7.5,256514000.0,25418.990776331895
01/01/1993,6858559000000.0,2.95,6.9,259919000.0,26387.293733817074
01/01/1994,7287236000000.0,2.61,6.119,263126000.0,27694.853416234047
01/01/1995,7639749000000.0,2.81,5.65,266278000.0,28690.875701334695
01/01/1996,8073122000000.0,2.93,5.451,269394000.0,29967.712718174866
01/01/1997,8577554457000.0,2.34,5.0,272657000.0,31459.138980477303
01/01/1998,9062818202000.0,1.55,4.511,275854000.0,32853.676952300855
01/01/1999,9631174489000.0,2.19,4.219,279040000.0,34515.39022720757
01/01/2000,10250947997000.0,3.38,3.992,282162411.0,36329.95607271019
01/01/2001,10581929774000.0,2.83,4.731,284968955.0,37133.62311343704
01/01/2002,10929112955000.0,1.59,5.783,287625193.0,37997.75965730513
01/01/2003,11456442041000.0,2.27,5.989,290107933.0,39490.27495570071
01/01/2004,12217193198000.0,2.68,5.529,292805298.0,41724.6316287624
01/01/2005,13039199193000.0,3.39,5.084,295516599.0,44123.407067905515
01/01/2006,13815586948000.0,3.23,4.623,298379912.0,46302.000880005624
01/01/2007,14474226905000.0,2.85,4.622,301231207.0,48050.223777113504
01/01/2008,14769857911000.0,3.84,5.784,304093966.0,48570.045980458555
01/01/2009,14478064934000.0,-0.36,9.254,306771529.0,47194.94335473355
01/01/2010,15048964444000.0,1.64,9.633,309327143.0,48650.643128333555
01/01/2011,15599728123000.0,3.16,8.949,311583481.0,50065.966504174205
01/01/2012,16253972230000.0,2.07,8.069,313877662.0,51784.41857388373
01/01/2013,16843190993000.0,1.46,7.375,316059947.0,53291.127689140565
01/01/2014,17550680174000.0,1.62,6.168,318386329.0,55123.84978690464
01/01/2015,18206020741000.0,0.12,5.28,320738994.0,56762.72945159889
01/01/2016,18695110842000.0,1.26,4.869,323071755.0,57866.74493410914
01/01/2017,19477336549000.0,2.13,4.355,325122128.0,59907.754260885005
01/01/2018,20533057312000.0,2.44,3.896,326838199.0,62823.30943819697
01/01/2019,21380976119000.0,1.81,3.669,328329953.0,65120.394662865256
01/01/2020,21060473613000.0,1.23,8.055,331511512.0,63528.63430275085
01/01/2021,23315080560000.0,4.7,5.349,332031554.0,70219.472454115
01/01/2022,25439700000000.0,8.0,3.65,333287557.0,76329.5822652029
